Este(m);Norte(m);Cota(m);Al(%);Fe(%);Campana
7400;1871.7;1445.78;2.94;60.74;CHIST
7400;1875.4;1439.37;2.23;63.76;CHIST
7500;1916.67;1450.6;0.87;67.12;CHIST
7500;1921.67;1441.94;1.7;65.3;CHIST
7500;1926.3;1433.93;1.06;65.96;CHIST
7500;1930.92;1425.92;1.52;60.28;CHIST
7500;1935.91;1417.28;1.8;54.57;CHIST
6600.01;1155.24;1378;1.11;66.98;CNEW
6600.01;1151.13;1370.88;2.59;62.01;CNEW
6600.01;1145.07;1360.38;3.53;64.16;CNEW
6600.01;1142.33;1355.64;3.53;64.16;CNEW
6600.01;1140.69;1352.8;3.34;61.63;CNEW
6600.01;1137.52;1347.3;4.3;57.69;CNEW
6600.01;1133.09;1339.64;3.08;49.35;CNEW
6600.01;1129.22;1332.93;4.13;48.25;CNEW
6595.01;1063.22;1364.8;5.23;59.81;CNEW
6595.01;1060.27;1359.69;5.23;59.81;CNEW
6595.01;1057.32;1354.58;5.05;59.18;CNEW
6595.01;1052.32;1345.92;3.6;54.11;CNEW
6595.01;1047.32;1337.26;5.55;42.03;CNEW
6595.01;1044.62;1332.58;5.7;41.14;CNEW
6595.01;1041.92;1327.9;6.37;43.78;CNEW
6595.01;1036.97;1319.33;5.83;40.47;CNEW
6595.01;1032.38;1311.38;6.23;40.66;CNEW
6596.97;1210.5;1371.86;1.88;64.97;CNEW
6596.97;1205.72;1363.59;1.18;65.99;CNEW
6596.97;1201.75;1356.7;0.75;67.79;CNEW
6596.97;1197.07;1348.61;1.53;-99;CNEW
6596.97;1192.62;1340.9;1.3;52.19;CNEW
6596.97;1187.62;1332.24;1.42;53.8;CNEW
6596.97;1184.95;1327.61;0.97;55.01;CNEW
6596.97;1182.56;1323.47;2.45;51.44;CNEW
6699.96;1067;1351.35;3.12;59.28;CNEW
6699.96;1062.33;1343.25;4.95;45.72;CNEW
6699.96;1058.43;1336.5;1.38;42.45;CNEW
6699.96;1054.15;1329.09;1.92;43;CNEW
6699.96;1049.15;1320.43;2.28;37.34;CNEW
6699.96;1046.53;1315.89;2.28;37.34;CNEW
6799.92;1153.29;1380.48;4.09;63.12;CNEW
6799.92;1149.54;1373.98;2.13;56.54;CNEW
6799.92;1146.04;1367.92;3.22;61.15;CNEW
6799.92;1141.84;1360.65;3.87;55.9;CNEW
6799.92;1138.14;1354.24;12.6;37.16;CNEW
6799.92;1133.84;1346.79;1.74;34.61;CNEW
6799.92;1128.84;1338.13;1.18;34.86;CNEW
6799.92;1124.86;1331.25;1.73;34.07;CNEW
6799.92;1121.79;1325.92;1.94;37.38;CNEW
6799.98;1052.85;1380.03;5.5;57.76;CNEW
6799.98;1048.56;1372.6;6.08;58.03;CNEW
6799.98;1044.84;1366.15;0.91;47.89;CNEW
6899.98;1166.82;1374.13;1.59;66.12;CNEW
6899.98;1163.34;1368.11;2.44;64.93;CNEW
6899.98;1159.87;1362.09;3.78;55.24;CNEW
6899.98;1154.87;1353.43;5.21;56.45;CNEW
6899.98;1149.87;1344.77;4.66;58.35;CNEW
6899.98;1145.87;1337.84;4.95;49.27;CNEW
6899.98;1136.55;1321.69;2.8;47.83;CNEW
6899.98;1131.55;1313.03;3.24;46.36;CNEW
6899.98;1129.01;1308.64;3.24;46.36;CNEW
7000.01;1200.85;1373.47;2.35;63.74;CNEW
7000.01;1198.05;1368.62;2.35;63.74;CNEW
7000.01;1195.55;1364.29;0.6;68.85;CNEW
7000.01;1191.13;1356.63;4;78.23;CNEW
7000.01;1186.4;1348.44;1.8;65.95;CNEW
7000.01;1182.73;1342.08;2.44;65.24;CNEW
7000.01;1166.9;1314.67;1.28;61.86;CNEW
7000.01;1162.45;1306.96;0.75;65.46;CNEW
7099.82;1235.28;1376.85;2.74;60.14;CNEW
7099.82;1232.73;1372.43;2.74;60.14;CNEW
7099.82;1230.18;1368.02;2.42;65.07;CNEW
7099.82;1226.76;1362.09;2.17;64.22;CNEW
7099.82;1224.16;1357.58;3.61;56.07;CNEW
7099.82;1219.98;1350.35;3.12;62.8;CNEW
7099.82;1217.38;1345.85;3.12;62.8;CNEW
7099.82;1214.81;1341.39;1.27;57.82;CNEW
7099.82;1210.51;1333.94;1.72;44.14;CNEW
7099.82;1207.23;1328.27;2.09;53.15;CNEW
7099.89;1189.56;1369.36;5.95;57.34;CNEW
7099.89;1184.82;1361.15;10.18;56.59;CNEW
7099.89;1180.46;1353.6;4.42;62.64;CNEW
7099.89;1175.84;1345.59;4.1;60.74;CNEW
7099.89;1173.07;1340.8;4.1;60.74;CNEW
6999.88;1137.87;1358.1;3.86;61.11;CNEW
6999.88;1134.3;1351.93;3.48;61.71;CNEW
6999.88;1130.74;1345.76;3.03;63.46;CNEW
6999.88;1127.77;1340.61;3.03;63.46;CNEW
6949.81;1177.85;1373.34;4.05;63.36;CNEW
6949.81;1173.58;1365.94;2.05;62.85;CNEW
6949.81;1169.58;1359.01;2.52;65.54;CNEW
6949.81;1165.23;1351.48;0.76;68.2;CNEW
6949.81;1160.5;1343.29;3.01;64.52;CNEW
